timestamp,id,advanced_pointing,trial,distance,target_size,time_in_ms,click_offset_x,click_offset_y
2021-05-11T15:02:37,1,1,0,1203.5688596835662,30,25242,-8,-15
2021-05-11T15:02:39,1,1,1,239.87079855622275,20,1235,-10,-11
2021-05-11T15:02:40,1,1,2,919.3954535454262,50,1530,-20,-21
